Designator,Mid X,Mid Y,Rotation,Layer
C1,33.528,43.942,270.0,top
C10,22.098,56.388,270.0,top
C2,60.198,82.296,180.0,top
C3,46.99,32.004,180.0,top
C4,46.938,82.296,180.0,top
C5,73.458,32.004,180.0,top
C6,60.198,32.004,180.0,top
C7,33.834,32.004,180.0,top
C8,20.574,32.004,180.0,top
CP1,12.192,38.14,90.0,top
CP2,19.812,38.14,90.0,top
D1,3.556,49.276,90.0,top
D2,26.162,56.388,270.0,top
J1,90.17,78.105,0.0,top
J2,37.465,90.17,90.0,top
J3,5.207,17.145,180.0,top
J4,4.445,68.834,180.0,top
J5,4.445,56.642,180.0,top
J6,4.445,78.247,180.0,top
R1,9.652,59.944,270.0,top
R2,34.29,56.388,270.0,top
R3,30.226,56.388,270.0,top
RN1,85.344,52.705,270.0,top
RN2,55.245,86.106,180.0,top
RN3,80.518,86.106,180.0,top
RN4,85.344,78.105,270.0,top
RN5,65.786,48.514,270.0,top
U1,50.546,52.832,0.0,top
U2,52.578,77.216,0.0,top
U3,39.37,27.178,0.0,top
U4,39.318,77.216,0.0,top
U5,65.786,27.178,0.0,top
U6,52.578,27.178,0.0,top
U7,26.214,27.178,0.0,top
U8,12.954,27.178,0.0,top
X1,26.058,77.216,0.0,top
