"Source:","C:\Users\dmouse\ownCloud - dmouse@slackhalla.org@owncloud.slackhalla.org\Projects\KiCAD\stackable_z80_computer\boards\power_board\power_board.kicad_sch"
"Date:","8/25/2023 11:23:26 PM"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","14"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D1","PWR_LED","Device:LED","LED_THT:LED_D3.0mm","~"
"","","D2","SB_LED","Device:LED","LED_THT:LED_D3.0mm","~"
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"","","H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"","","J1","Exp. Conn. A","Connector_Generic:Conn_02x20_Odd_Even","Connector_IDC:IDC-Header_2x20_P2.54mm_Horizontal","~"
"","","J2","Exp. Conn. B","Connector_Generic:Conn_02x17_Odd_Even","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal","~"
"","","J3","Power","Connector_Generic:Conn_02x10_Top_Bottom","Connector_IDC:IDC-Header_2x10_P2.54mm_Horizontal","~"
"","","J4","Front Panel Connector","ownlib:Conn_02x06_Odd_Even_keyed","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Horizontal","~"
"","","J5","ATX-20","Connector_Generic:Conn_02x10_Top_Bottom","Connector_Molex:Molex_Mini-Fit_Jr_5569-20A1_2x10_P4.20mm_Horizontal","~"
"","","R1","470","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"","","R2","470","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"","","R3","470","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","D1","PWR_LED","Device:LED","LED_THT:LED_D3.0mm","~"
"2","1","D2","SB_LED","Device:LED","LED_THT:LED_D3.0mm","~"
"3","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"4","1","J1","Exp. Conn. A","Connector_Generic:Conn_02x20_Odd_Even","Connector_IDC:IDC-Header_2x20_P2.54mm_Horizontal","~"
"5","1","J2","Exp. Conn. B","Connector_Generic:Conn_02x17_Odd_Even","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal","~"
"6","1","J3","Power","Connector_Generic:Conn_02x10_Top_Bottom","Connector_IDC:IDC-Header_2x10_P2.54mm_Horizontal","~"
"7","1","J4","Front Panel Connector","ownlib:Conn_02x06_Odd_Even_keyed","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Horizontal","~"
"8","1","J5","ATX-20","Connector_Generic:Conn_02x10_Top_Bottom","Connector_Molex:Molex_Mini-Fit_Jr_5569-20A1_2x10_P4.20mm_Horizontal","~"
"9","3","R1, R2, R3","470","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
