Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,9,0.1uF,
CP1,CP_Radial_D5.0mm_P2.50mm,1,10uF,
CP2,CP_Radial_D5.0mm_P2.50mm,1,0.1uF,
D1,LED_D3.0mm,1,PWR_LED,
D2,D_A-405_P7.62mm_Horizontal,1,1N4148,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380_Pad,4,MountingHole_Pad,
J1,IDC-Header_2x20_P2.54mm_Horizontal,1,Exp. Conn. A,
J2,IDC-Header_2x17_P2.54mm_Horizontal,1,Exp. Conn. B,
J3,IDC-Header_2x10_P2.54mm_Horizontal,1,Power,
J4,IDC-Header_2x04_P2.54mm_Horizontal,1,Exp. Conn. C,
J5,PinHeader_1x02_P2.54mm_Horizontal,1,EXT_CLK,
J6,PinHeader_1x03_P2.54mm_Horizontal,1,CPU_CLK_SEL,
J7,PinHeader_1x03_P2.54mm_Horizontal,1,BUS_CLK_SEL,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
"R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10k,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7k,
"RN1, RN2, RN3, RN4",R_Array_SIP9,4,4.7k,
RN5,R_Array_SIP5,1,4.7k,
U1,PLCC-44_THT-Socket,1,Z80CPPLC44,
U2,DIP-20_W7.62mm_Socket,1,GAL16V8,
"U3, U4, U6",DIP-20_W7.62mm_Socket,3,74LS244,
U5,DIP-20_W7.62mm_Socket,1,74LS245,
U7,DIP-14_W7.62mm_Socket,1,74LS30,
U8,PLCC-44_THT-Socket,1,ATF1502AS-7JX44,
X1,DIP-8_W7.62mm_Socket,1,INT_CLK,
