Designator,Mid X,Mid Y,Rotation,Layer
C1,25.146,49.53,270.0,top
C2,28.702,77.216,270.0,top
C3,72.99,32.004,180.0,top
C4,59.886,32.004,180.0,top
C5,72.99,82.042,180.0,top
C6,46.782,32.004,180.0,top
C7,54.864,40.894,90.0,top
C8,20.34,32.258,0.0,top
C9,17.018,57.15,270.0,top
CP1,12.192,37.465,90.0,top
CP2,19.812,37.465,90.0,top
D1,3.556,49.276,90.0,top
D2,20.574,44.704,180.0,top
J1,90.17,78.105,0.0,top
J2,37.465,90.17,90.0,top
J3,5.207,17.145,180.0,top
J4,15.748,90.17,90.0,top
J5,4.445,68.834,180.0,top
J6,4.445,56.642,180.0,top
J7,4.445,78.247,180.0,top
R1,8.89,57.15,270.0,top
R2,12.954,57.15,270.0,top
R3,21.082,49.53,90.0,top
R4,41.402,36.576,180.0,top
RN1,84.836,52.705,270.0,top
RN2,55.245,86.106,180.0,top
RN3,80.518,86.106,180.0,top
RN4,84.836,78.105,270.0,top
RN5,80.01,78.105,270.0,top
U1,41.402,57.15,0.0,top
U2,34.29,69.596,90.0,top
U3,52.266,26.178,0.0,top
U4,65.37,26.178,0.0,top
U5,65.37,77.216,0.0,top
U6,39.162,26.178,0.0,top
U7,58.674,40.894,90.0,top
U8,24.13,23.638,0.0,top
X1,13.422,77.216,0.0,top
