Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,7,0.1uF,
CP1,CP_Radial_D5.0mm_P2.50mm,1,10uF,
CP2,CP_Radial_D5.0mm_P2.50mm,1,0.1uF,
D1,LED_D3.0mm,1,PWR_LED,
D10,LED_D3.0mm,1,LED_12V,
D11,LED_D3.0mm,1,LED_-12V,
D2,LED_D3.0mm,1,LED_3.3V,
"D3, D4",LED_D3.0mm,2,LED_3.3V2,
D5,LED_D3.0mm,1,LED_5V,
D6,LED_D3.0mm,1,LED_5V2,
D7,LED_D3.0mm,1,LED_5V3,
D8,LED_D3.0mm,1,LED_5V4,
D9,LED_D3.0mm,1,LED_5VSB,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380_Pad,4,MountingHole_Pad,
J1,IDC-Header_2x20_P2.54mm_Horizontal,1,Exp. Conn. A,
J3,IDC-Header_2x10_P2.54mm_Horizontal,1,Power,
J4,PinHeader_2x10_P2.54mm_Horizontal,1,7SEG_LED_DISPLAY,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470,
"R10, R11",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,2.4k,
"R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,660,
"R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,5,1k,
"RN1, RN2",R_Array_SIP5,2,1k,
U1,DIP-20_W7.62mm_Socket,1,74LS688,
U2,DIP-14_W7.62mm_Socket,1,74LS04,
U3,DIP-14_W7.62mm_Socket,1,74LS74,
U4,DIP-14_W7.62mm_Socket,1,74LS02,
U5,DIP-20_W7.62mm_Socket,1,74LS573,
"U6, U7",DIP-20_W7.62mm_Socket,2,GAL16V8,
