Designator,Mid X,Mid Y,Rotation,Layer
C1,63.905,55.372,0.0,top
C2,50.594,55.372,0.0,top
C3,77.216,29.464,0.0,top
C4,63.905,29.464,0.0,top
C5,77.216,55.372,0.0,top
C6,37.283,55.372,0.0,top
C7,23.972,55.372,0.0,top
CP1,12.192,38.14,90.0,top
CP2,19.812,38.14,90.0,top
D1,3.556,49.276,90.0,top
D10,35.052,51.186,270.0,top
D11,42.672,48.646,90.0,top
D2,12.192,28.448,270.0,top
D3,19.812,28.448,270.0,top
D4,27.432,28.448,270.0,top
D5,35.052,28.448,270.0,top
D6,42.672,28.448,270.0,top
D7,50.292,28.448,270.0,top
D8,57.912,28.448,270.0,top
D9,27.432,51.186,270.0,top
J1,90.17,78.105,0.0,top
J3,5.207,17.145,180.0,top
J4,5.207,59.436,180.0,top
R1,10.414,59.436,270.0,top
R10,35.052,35.052,90.0,top
R11,42.672,35.052,90.0,top
R2,12.192,12.314,90.0,top
R3,19.812,12.314,90.0,top
R4,27.432,12.314,90.0,top
R5,35.052,12.314,90.0,top
R6,42.672,12.314,90.0,top
R7,50.292,12.314,90.0,top
R8,57.912,12.314,90.0,top
R9,27.432,35.052,90.0,top
RN1,64.242,88.646,0.0,top
RN2,49.276,88.646,0.0,top
U1,71.525,59.934,180.0,top
U2,58.214,59.934,180.0,top
U3,84.836,34.031,180.0,top
U4,71.525,34.031,180.0,top
U5,84.836,59.934,180.0,top
U6,44.903,59.934,180.0,top
U7,31.592,59.934,180.0,top
